timestamp,trackingState,hasCalibrated,gtX,gtY,rawX,rawY,calibratedX,calibratedY,filteredX,filteredY,leftDistance,rightDistance,showGaze,positionID
229346415121,1,1,604.66705,1342.55,799.0536,603.0482,778.91455,1042.3573,716.46234,1042.3573,33.73106,31.103203,0,13
229379867621,1,1,602.53204,1369.2612,803.04425,607.6289,785.3673,1051.2047,742.4652,1042.3573,33.42541,29.788824,0,13
229411806475,1,1,600.4117,1395.7887,806.60736,637.976,798.5297,1126.0142,778.91455,1042.3573,33.569427,30.619513,0,13
229447199704,1,1,598.3317,1421.8108,776.5346,681.49255,748.53735,1229.9844,748.53735,1051.2047,34.011684,30.426292,0,13
229479201684,1,1,596.16473,1448.9221,765.2751,605.91113,739.1879,1059.9705,748.53735,1059.9705,33.397385,31.136414,0,13
229513327621,1,1,594.1682,1473.8999,748.17206,659.7343,711.08466,1181.5944,748.53735,1059.9705,34.215847,31.706911,0,13
229546941111,1,1,592.0544,1500.3462,686.88617,703.25085,627.313,1284.4723,739.1879,1059.9705,35.02892,30.378387,0,13
229578815121,1,1,590.9752,1513.8478,732.2092,771.3887,686.18616,1426.3972,711.08466,1181.5944,33.493256,31.138939,0,13
229613186163,1,1,587.8353,1553.1306,725.51056,733.59796,679.0996,1354.8447,686.18616,1284.4723,34.16648,31.386824,0,13
229647016319,1,1,586.74097,1566.8215,708.12244,778.8323,649.05804,1453.2852,686.18616,1354.8447,34.91307,31.153318,0,13
229679963559,1,1,584.5658,1594.0353,681.04266,779.9775,607.99854,1478.7211,679.0996,1354.8447,34.58774,31.708996,0,13
229714198246,1,1,582.5686,1619.0222,728.5036,739.8964,675.9524,1374.8605,675.9524,1374.8605,33.952427,30.951635,0,13
229746220017,1,1,580.422,1645.8777,740.6182,796.0099,692.7885,1476.7135,679.0996,1374.8605,33.491287,30.932613,0,13
229778976527,1,1,578.35266,1671.7673,770.121,855.5589,732.6531,1578.7836,679.0996,1374.8605,34.69325,30.759085,0,13
229812597204,1,1,576.247,1698.1113,726.9358,897.9303,674.3683,1686.2739,679.0996,1476.7135,33.494587,30.906324,0,13
229844185381,1,1,574.1858,1723.8987,736.05743,873.3091,678.38763,1631.0657,679.0996,1578.7836,33.767662,30.589127,0,13
229879740850,1,1,571.93945,1752.0029,655.31683,823.494,579.1072,1554.3966,678.38763,1554.3966,32.941532,30.127361,0,13
229912880902,1,1,569.8756,1777.8235,683.038,876.17206,596.56903,1641.7684,678.38763,1578.7836,34.950012,31.0454,0,13
229945178350,1,1,567.7731,1804.1284,695.8653,923.12415,620.2469,1723.6788,620.2469,1578.7836,32.73462,31.059832,0,13
229980026527,1,1,565.6522,1830.6619,694.44006,871.0188,624.45874,1628.5818,624.45874,1628.5818,32.648045,30.321695,0,13
230012630173,1,1,563.5855,1856.5183,633.368,1054.2466,523.5234,1935.6686,620.2469,1628.5818,33.663998,30.518526,0,13
230044538663,1,1,561.4731,1882.9468,641.7057,1009.5847,546.4594,1886.0961,620.2469,1628.5818,32.58257,31.617603,0,13
230079237152,1,1,559.37823,1909.1553,672.9187,1100.0533,600.2973,2007.9194,600.2973,1886.0961,33.821453,31.63343,0,13
230113135902,1,1,559.0468,1913.3018,651.825,1023.3268,567.73096,1911.2037,600.2973,1886.0961,33.886562,32.266106,0,13
230145567360,1,1,559.0468,1913.3018,610.35016,1158.4573,493.3326,2080.2598,600.2973,1911.2037,34.608723,31.930586,0,13
230179783194,1,1,559.0468,1913.3018,660.519,1272.9746,567.07684,2172.206,567.73096,1911.2037,34.62126,31.896873,0,13
230213541631,1,1,559.0468,1913.3018,630.0186,1140.1344,521.7538,2046.0588,567.07684,2046.0588,33.94156,32.073948,0,13
230244862517,1,1,559.0468,1913.3018,686.60114,1143.57,600.6826,2042.2366,567.73096,2042.2366,33.08121,31.60665,0,13
230277672517,1,1,559.0468,1913.3018,676.9094,1109.7874,589.7992,1994.3463,567.73096,2042.2366,32.494663,32.511642,0,13
